142,581,201,595
142,616,237,632
142,657,296,672
130,419,225,429
142,532,201,543
142,604,284,614
142,630,249,642
118,369,178,377
189,475,213,483
142,683,201,691
261,461,332,475
142,565,261,576
130,278,166,286
166,128,261,141
213,480,237,488
47,278,83,313
261,278,296,286
154,54,273,79
178,728,249,739
142,550,201,564
284,538,320,547
142,594,308,607
118,505,249,514
0,380,106,445
59,481,83,504
284,509,320,517
225,499,320,510
118,405,225,418
284,403,320,412
154,180,189,230
189,482,320,496
