259,206,620,222
259,218,439,229
417,242,676,259
327,166,473,183
496,102,688,115
462,143,699,158
248,243,315,261
248,62,462,85
496,47,699,59
101,131,157,153
11,233,33,242
78,10,394,27
248,85,665,113
496,221,620,232
462,132,688,147
496,34,654,48
507,117,552,128
496,20,676,34
259,179,654,194
248,37,417,60
248,114,462,137
78,25,214,38
496,8,631,23
248,138,383,161
496,59,699,71
496,191,597,204
90,133,146,239
496,67,530,79
496,73,688,86
0,23,45,38
496,161,620,175
78,36,169,52
